 ****  Molecular Integrals For CheMPS Start Here 
 Symmetry Label = ci 
 Nirreps = 2 
 Nuclear Repulsion Energy = 125.7780076248893124 
 Number Of Molecular Orbitals = 8 
 Irreps Of Molecular Orbitals = 
 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
 ...
 ...
 ****  MO OEI
 5 0 0 5 0.2870181222
 0 5 0 5 0.2870181222
 5 1 0 0 0.2008646285
 1 5 0 0 0.2008646285
 5 1 0 0 0.2008646285
 1 5 0 0 0.2008646285
 0 0 5 1 0.2008646285
 0 0 1 5 0.2008646285
 0 0 5 1 0.2008646285
 0 0 1 5 0.2008646285
 5 1 1 1 0.3322113332
 1 5 1 1 0.3322113332
 5 1 1 1 0.3322113332
 1 5 1 1 0.3322113332
 1 1 5 1 0.3322113332
 1 1 1 5 0.3322113332
 1 1 5 1 0.3322113332
 1 1 1 5 0.3322113332
 5 1 2 0 0.1257172105
 1 5 2 0 0.1257172105
 5 1 0 2 0.1257172105
 1 5 0 2 0.1257172105
 2 0 5 1 0.1257172105
 2 0 1 5 0.1257172105
 0 2 5 1 0.1257172105
 0 2 1 5 0.1257172105
 5 1 2 2 0.0818399555
 1 5 2 2 0.0818399555
 5 1 2 2 0.0818399555
 1 5 2 2 0.0818399555
 2 2 5 1 0.0818399555
 2 2 1 5 0.0818399555
 2 2 5 1 0.0818399555
 2 2 1 5 0.0818399555
 5 1 3 1 0.0744418242
 1 5 3 1 0.0744418242
 5 1 1 3 0.0744418242
 1 5 1 3 0.0744418242
 3 1 5 1 0.0744418242
 3 1 1 5 0.0744418242
 1 3 5 1 0.0744418242
 1 3 1 5 0.0744418242
 5 1 3 3 0.0814290902
 1 5 3 3 0.0814290902
 5 1 3 3 0.0814290902
 1 5 3 3 0.0814290902
 3 3 5 1 0.0814290902
 3 3 1 5 0.0814290902
 3 3 5 1 0.0814290902
 3 3 1 5 0.0814290902
 5 1 4 0 -0.3443853878
 1 5 4 0 -0.3443853878
 5 1 0 4 -0.3443853878
 1 5 0 4 -0.3443853878
 4 0 5 1 -0.3443853878
 4 0 1 5 -0.3443853878
 0 4 5 1 -0.3443853878
 0 4 1 5 -0.3443853878
 5 1 4 2 -0.1861647198
 1 5 4 2 -0.1861647198
 5 1 2 4 -0.1861647198
 1 5 2 4 -0.1861647198
 4 2 5 1 -0.1861647198
 4 2 1 5 -0.1861647198
 2 4 5 1 -0.1861647198
 2 4 1 5 -0.1861647198
 5 1 4 4 0.0814290902
 1 5 4 4 0.0814290902
 5 1 4 4 0.0814290902
 1 5 4 4 0.0814290902
 4 4 5 1 0.0814290902
 4 4 1 5 0.0814290902
 4 4 5 1 0.0814290902
 4 4 1 5 0.0814290902
 5 1 5 1 0.4579922149
 1 5 5 1 0.4579922149
 5 1 1 5 0.4579922149
 1 5 1 5 0.4579922149
 5 2 1 0 0.2248485382
 2 5 1 0 0.2248485382
 5 2 0 1 0.2248485382
 2 5 0 1 0.2248485382
 1 0 5 2 0.2248485382
 1 0 2 5 0.2248485382
 0 1 5 2 0.2248485382
 0 1 2 5 0.2248485382
 5 2 2 1 -0.1976950719
